分类: 卫视频道, 名称: 北京卫视, 有效: 8, IPv4: 50, IPv6: 0, 最小延迟: 35 ms, 最高速率: 11.59 MiB/s, 平均速率: 4.32 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 26.67, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 江苏卫视, 有效: 8, IPv4: 47, IPv6: 0, 最小延迟: 39 ms, 最高速率: 11.72 MiB/s, 平均速率: 2.84 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 安徽卫视, 有效: 8, IPv4: 39, IPv6: 0, 最小延迟: 38 ms, 最高速率: 9.92 MiB/s, 平均速率: 2.97 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 重庆卫视, 有效: 5, IPv4: 45, IPv6: 0, 最小延迟: 36 ms, 最高速率: 11.47 MiB/s, 平均速率: 5.00 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道, 名称: 四川卫视, 有效: 6, IPv4: 36, IPv6: 0, 最小延迟: 40 ms, 最高速率: 11.12 MiB/s, 平均速率: 3.54 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 27.78, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 东南卫视, 有效: 5, IPv4: 42, IPv6: 0, 最小延迟: 38 ms, 最高速率: 11.54 MiB/s, 平均速率: 2.73 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 深圳卫视, 有效: 5, IPv4: 41, IPv6: 0, 最小延迟: 28 ms, 最高速率: 11.40 MiB/s, 平均速率: 2.74 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 广东卫视, 有效: 6, IPv4: 63, IPv6: 0, 最小延迟: 32 ms, 最高速率: 11.54 MiB/s, 平均速率: 2.38 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道, 名称: 广西卫视, 有效: 8, IPv4: 36, IPv6: 0, 最小延迟: 39 ms, 最高速率: 11.65 MiB/s, 平均速率: 3.37 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 厦门卫视, 有效: 0, IPv4: 10, IPv6: 0, 最小延迟: 39 ms, 最高速率: 11.92 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: 720x576, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 甘肃卫视, 有效: 6, IPv4: 29, IPv6: 0, 最小延迟: 38 ms, 最高速率: 12.33 MiB/s, 平均速率: 9.27 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 贵州卫视, 有效: 6, IPv4: 35, IPv6: 0, 最小延迟: 39 ms, 最高速率: 11.71 MiB/s, 平均速率: 9.27 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 28.12, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道, 名称: 河北卫视, 有效: 11, IPv4: 41, IPv6: 0, 最小延迟: 40 ms, 最高速率: 11.76 MiB/s, 平均速率: 1.90 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 河南卫视, 有效: 0, IPv4: 42, IPv6: 0, 最小延迟: 26 ms, 最高速率: 10.59 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 黑龙江卫视, 有效: 6, IPv4: 41, IPv6: 0, 最小延迟: 28 ms, 最高速率: 11.87 MiB/s, 平均速率: 3.08 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道, 名称: 湖北卫视, 有效: 6, IPv4: 43, IPv6: 0, 最小延迟: 36 ms, 最高速率: 13.13 MiB/s, 平均速率: 3.96 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道, 名称: 江西卫视, 有效: 7, IPv4: 42, IPv6: 0, 最小延迟: 38 ms, 最高速率: 12.09 MiB/s, 平均速率: 2.15 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 吉林卫视, 有效: 5, IPv4: 39, IPv6: 0, 最小延迟: 41 ms, 最高速率: 6.47 MiB/s, 平均速率: 2.65 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 内蒙古卫视, 有效: 4, IPv4: 24, IPv6: 0, 最小延迟: 40 ms, 最高速率: 11.68 MiB/s, 平均速率: 5.85 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 辽宁卫视, 有效: 7, IPv4: 44, IPv6: 0, 最小延迟: 39 ms, 最高速率: 11.70 MiB/s, 平均速率: 6.56 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 27.08, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道, 名称: 宁夏卫视, 有效: 0, IPv4: 27, IPv6: 0, 最小延迟: 40 ms, 最高速率: 11.70 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: 720x576, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 青海卫视, 有效: 4, IPv4: 38, IPv6: 0, 最小延迟: 39 ms, 最高速率: 12.21 MiB/s, 平均速率: 6.75 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 28.89, 视频编解码器: h264, 音频编解码器: aac
